Algorithm,Best Distance,Time (s),Iterations
Greedy,79.80179688798913,0.0006492137908935547,-
HillClimbing,76.01887965774533,0.005861520767211914,12
SimulatedAnnealing,74.36487243032911,0.059203147888183594,10000
TabuSearch,79.72420115687385,2.318471670150757,3000
